rut_cliente;nombre_cliente;monto;banco_destino;cuenta_destino;referencia_banco
6876966-3;FELIPE SOTO MORALES;846303.34;BANCO ESTADO;627820024292;REF-2026-000001
15558837-3;VALENTINA TORRES LOPEZ;1860315.82;ITAU;289376437635;REF-2026-000002
9685216-9;FELIPE FLORES FLORES;556009.95;BANCO SECURITY;644806247029;REF-2026-000003
18401657-5;CRISTOBAL SILVA ROJAS;1073554.63;BANCO ESTADO;055785667210;REF-2026-000004
8679214-1;FRANCISCA DIAZ FUENTES;1255760.08;BANCO SECURITY;655474071330;REF-2026-000005
20705148-9;FERNANDA MARTINEZ FLORES;1810185.01;BANCO ESTADO;974590532631;REF-2026-000006
23017734-1;ANTONIA MORALES MUNOZ;620514.55;BANCO SANTANDER;002948728483;REF-2026-000007
13837869-1;FERNANDA DIAZ ARAYA;1918919.13;SCOTIABANK;704694611575;REF-2026-000008
22034339-1;JORGE CONTRERAS ROJAS;789154.97;BANCO SANTANDER;658132452561;REF-2026-000009
15876872-0;NICOLAS PEREZ MUNOZ;1953461.46;SCOTIABANK;062157982007;REF-2026-000010
13082309-2;ISIDORA GONZALEZ GONZALEZ;1539921.62;BANCO ESTADO;838424066816;REF-2026-000011
22874652-5;FRANCISCA ROJAS TORRES;1990685.70;BANCO SANTANDER;581958994499;REF-2026-000012
25353914-3;SEBASTIAN CONTRERAS FLORES;1588905.93;BCI;343364508902;REF-2026-000013
18387959-6;CRISTOBAL HERNANDEZ ARAYA;951835.15;BCI;070684544463;REF-2026-000014
16344269-8;MARIA ESPINOZA FLORES;487585.75;BCI;078340295766;REF-2026-000015
6975475-9;FELIPE GONZALEZ SOTO;1807786.42;BANCO ESTADO;260906321488;REF-2026-000016
14344146-6;NICOLAS CONTRERAS FLORES;-282478.92;ITAU;861037124392;REF-2026-000017
20870338-2;SEBASTIAN CONTRERAS MUNOZ;208278.84;BANCO SECURITY;466378164447;REF-2026-000018
18794303-5;CATALINA SOTO MUNOZ;132113.51;BANCO FALABELLA;949331323761;REF-2026-000019
8666460-7;FELIPE CONTRERAS CONTRERAS;1129672.57;BANCO SANTANDER;200380463457;REF-2026-000020
14346424-5;CATALINA SILVA GONZALEZ;934312.70;BANCO ESTADO;714181846360;REF-2026-000021
23139121-5;MARIA GONZALEZ SILVA;353779.52;ITAU;234995652670;REF-2026-000022
18456679-6;JUAN DIAZ LOPEZ;9520.49;SCOTIABANK;863972824015;REF-2026-000023
20267547-6;MATIAS FUENTES FLORES;1393044.91;ITAU;207823277527;REF-2026-000024
14955862-4;VALENTINA SOTO ESPINOZA;1547952.69;BANCO CHILE;347809914267;REF-2026-000025
6918148-1;JUAN ESPINOZA TORRES;1059553.67;BANCO SANTANDER;089080452706;REF-2026-000026
11235251-1;CAMILA VALDES GONZALEZ;1421023.30;BANCO SECURITY;627594012825;REF-2026-000027
13261616-7;ISIDORA VALDES SOTO;1303937.10;BANCO SECURITY;643773523346;REF-2026-000028
23965868-7;FERNANDA MORALES MARTINEZ;433362.85;BANCO FALABELLA;289787957213;REF-2026-000029
18280369-3;FRANCISCA SEPULVEDA HERNANDEZ;668071.96;BANCO ESTADO;503551183219;REF-2026-000030
25842645-2;ISIDORA MUNOZ GONZALEZ;1132501.27;SCOTIABANK;968866623129;REF-2026-000031
7308253-6;FELIPE RODRIGUEZ SEPULVEDA;335819.56;SCOTIABANK;890003396697;REF-2026-000032
22748304-0;MARIA FLORES SEPULVEDA;1959034.84;BANCO ESTADO;967105347950;REF-2026-000033
9506062-5;ANTONIA MUNOZ MUNOZ;1561960.70;BANCO SANTANDER;311407371993;REF-2026-000034
25294721-3;VALENTINA MORALES CONTRERAS;1446785.81;SCOTIABANK;540041627377;REF-2026-000035
13426230-3;JUAN GONZALEZ FUENTES;1744269.35;BANCO CHILE;;REF-2026-000036
5118973-6;JAVIERA ROJAS MARTINEZ;343861.94;ITAU;776463562649;REF-2026-000037
19350791-9;MARIA MUNOZ GONZALEZ;1986915.88;BANCO SANTANDER;041997998139;REF-2026-000038
17388832-5;ISIDORA FLORES ROJAS;906328.16;BANCO CHILE;401755918055;REF-2026-000039
6338649-9;CRISTOBAL CONTRERAS SILVA;1403660.13;BANCO FALABELLA;618530897084;REF-2026-000040
18635762-0;JORGE ROJAS SILVA;-1818209.20;BANCO SANTANDER;455757219856;REF-2026-000041
5831692-K;DIEGO MORALES FUENTES;1687409.85;BCI;173944613643;REF-2026-000042
8627087-0;CONSTANZA SOTO TORRES;471477.25
20445213-K;CRISTOBAL SEPULVEDA SILVA;472504.03;BCI;363488651216;REF-2026-000044
14348367-3;CAMILA MARTINEZ RODRIGUEZ;1350284.65;BANCO SECURITY;593034016653;REF-2026-000045
16111545-2;MARIA MUNOZ MARTINEZ;379483.74;SCOTIABANK;117128430402;REF-2026-000046
25017609-0;SEBASTIAN RODRIGUEZ MORALES;920184.77;BANCO ESTADO;990496879843;REF-2026-000047
24347084-6;VALENTINA MARTINEZ SOTO;1491430.55;BANCO CHILE;592874457344;REF-2026-000048
11611401-1;CRISTOBAL FUENTES GONZALEZ;1994934.85;BANCO FALABELLA;347273815783;REF-2026-000049
9181731-4;MATIAS ARAYA SEPULVEDA;1403575.52;BANCO FALABELLA;767232475190;REF-2026-000050
14920542-K;TOMAS ROJAS CONTRERAS;886739.85;BANCO SECURITY;824247811948;REF-2026-000051
10839388-2;JORGE ESPINOZA SEPULVEDA;856601.70;BANCO CHILE;315837745591;REF-2026-000052
12052560-3;SEBASTIAN ESPINOZA VALDES;1378017.41;ITAU;488228760932;REF-2026-000053
12170629-6;FERNANDA TORRES DIAZ;1386710.10;SCOTIABANK;729063322537;REF-2026-000054
25778944-6;JAVIERA GONZALEZ SILVA;1415954.39;BCI;219212526070;REF-2026-000055
9944378-2;MARIA SOTO SILVA;1001433.78;BANCO ESTADO;458222530916;REF-2026-000056
24316310-2;VALENTINA LOPEZ TORRES;843132.31;BANCO SANTANDER;759731991785;REF-2026-000057
5186053-5;PEDRO FUENTES SILVA;373861.89;ITAU;611101042340;REF-2026-000058
13361706-K;PEDRO HERNANDEZ ROJAS;1685692.59;BANCO FALABELLA;834009077155;REF-2026-000059
19850299-5;JORGE ARAYA FUENTES;1746829.70;ITAU;176652171321;REF-2026-000060
20927431-0;CATALINA MARTINEZ SILVA;1766320.81;SCOTIABANK;858987636625;REF-2026-000061
22491919-0;NICOLAS SILVA MARTINEZ;927479.09;SCOTIABANK;298359885684;REF-2026-000062
16269173-2;JAVIERA FLORES GONZALEZ;295191.19;BCI;762854335443;REF-2026-000063
10127293-1;VALENTINA GONZALEZ FUENTES;859797.42;ITAU;067210246191;REF-2026-000064
11940210-7;SEBASTIAN LOPEZ ESPINOZA;1989035.89;BANCO CHILE;971047277656;REF-2026-000065
24316962-3;CONSTANZA TORRES PEREZ;1982072.45;SCOTIABANK;429437913341;REF-2026-000066
19060021-1;TOMAS FLORES VALDES;1887846.28;ITAU;298295152191;REF-2026-000067
19624228-7;NICOLAS PEREZ LOPEZ;709914.85;BANCO SECURITY;184498961791;REF-2026-000068
20683010-7;FRANCISCA VALDES FLORES;61552.50;BANCO CHILE;705735188129;REF-2026-000069
19381858-7;FRANCISCA HERNANDEZ DIAZ;110454.33;BANCO SECURITY;234334202984;REF-2026-000070
20257177-8;JAVIERA MORALES LOPEZ;588546.96;BANCO SECURITY;916911532013;REF-2026-000071
7748317-9;NICOLAS PEREZ FLORES;114231.44;BCI;076806791671;REF-2026-000072
6350838-1;MARIA SILVA CONTRERAS;1764990.02;BANCO SANTANDER;139463496194;REF-2026-000073
20890072-2;PEDRO ESPINOZA CONTRERAS;980246.89;SCOTIABANK;408020728093;REF-2026-000074
10630069-0;JORGE VALDES MUNOZ;1636147.20;SCOTIABANK;637119440405;REF-2026-000075
5861624-9;MATIAS ESPINOZA LOPEZ;836844.91;BCI;649866464070;REF-2026-000076
13148673-1;PEDRO SEPULVEDA VALDES;1694314.15;BANCO CHILE;586606781064;REF-2026-000077
19373980-6;CRISTOBAL GONZALEZ ARAYA;1362996.43;BANCO CHILE;464210400205;REF-2026-000078
21448439-0;PEDRO FUENTES RODRIGUEZ;1337918.58;BANCO SANTANDER;196143931370;REF-2026-000079
22506915-8;ANTONIA VALDES FLORES;1629540.61;ITAU;909108877647;REF-2026-000080
24880149-2;ANTONIA MORALES SILVA;1747169.11;SCOTIABANK;498707816158;REF-2026-000081
13182699-0;CATALINA ESPINOZA VALDES;1406292.48;BANCO FALABELLA;542289144833;REF-2026-000082
15905665-1;DIEGO TORRES CONTRERAS;749121.33;BANCO FALABELLA;968568765641;REF-2026-000083
25003642-6;ANTONIA FLORES PEREZ;1088445.24;BANCO ESTADO;792310598800;REF-2026-000084
18637464-9;NICOLAS FLORES SILVA;1453312.60;ITAU;870508288813;REF-2026-000085
5578587-2;CAMILA SEPULVEDA SILVA;853090.88;BCI;728164617915;REF-2026-000086
24513767-2;CRISTOBAL TORRES FLORES;1118423.44;BANCO SECURITY;821324285791;REF-2026-000087
23467972-4;JAVIERA RODRIGUEZ HERNANDEZ;573152.39;SCOTIABANK;130839172235;REF-2026-000088
11462056-4;JAVIERA MUNOZ FLORES;1999134.97;BANCO SANTANDER;238045863496;REF-2026-000089
21247008-2;ANTONIA ESPINOZA ARAYA;1256560.36;BANCO ESTADO;215029509095;REF-2026-000090
14940381-7;FELIPE RODRIGUEZ DIAZ;638901.01;BANCO SANTANDER;049422798459;REF-2026-000091
6829589-0;TOMAS SEPULVEDA ROJAS;1342709.96;ITAU;959218317578;REF-2026-000092
5411558-K;ISIDORA SEPULVEDA TORRES;1008936.56;BANCO FALABELLA;276098568281;REF-2026-000093
21029931-9;PEDRO GONZALEZ LOPEZ;1036267.09;BANCO CHILE;164860419795;REF-2026-000094
23885762-7;MATIAS GONZALEZ SILVA;253410.71;BANCO SECURITY;656439143467;REF-2026-000095
25750676-2;FELIPE ARAYA LOPEZ;949797.56;SCOTIABANK;648939482105;REF-2026-000096
19389141-1;MATIAS ESPINOZA VALDES;131312.78;BANCO ESTADO;842588491630;REF-2026-000097
11972205-5;VALENTINA MARTINEZ GONZALEZ;334372.30;BANCO SANTANDER;084975167271;REF-2026-000098
10252363-6;MARIA FUENTES HERNANDEZ;1450716.76;ITAU;036610687504;REF-2026-000099
12767053-4;MATIAS HERNANDEZ GONZALEZ;1446550.29;SCOTIABANK;871967089400;REF-2026-000100
25973466-5;ISIDORA CONTRERAS FUENTES;245703.69;BCI;166990327202;REF-2026-000101
13913146-0;FRANCISCA GONZALEZ SOTO;352965.39;SCOTIABANK;136030135894;REF-2026-000102
20726894-1;MATIAS LOPEZ MARTINEZ;1054566.69;ITAU;088779505945;REF-2026-000103
25066780-9;JUAN FUENTES MORALES;1271079.32;BANCO CHILE;250500349165;REF-2026-000104
24300479-9;ISIDORA PEREZ MARTINEZ;-1213477.05;BANCO SANTANDER;569956468715;REF-2026-000105
19838756-8;ANTONIA DIAZ ESPINOZA;-919117.81;ITAU;103946308354;REF-2026-000106
